COURSE_INDEX,EMP_ROW_ID,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
0,0,3.85,5.77,1.05,7.3,5.46,76.77
1,1,12.5,12.5,0.0,10.0,20.0,42.5
2,2,3.18,6.37,0.77,7.26,4.44,78.05
3,3,13.02,3.3,1.95,13.36,4.55,63.8
4,4,4.91,4.17,0.78,10.19,4.81,75.48
5,5,13.09,4.07,2.93,14.42,6.51,59.21
6,6,4.41,4.13,0.78,11.13,4.78,75.13
7,7,1.8,1.0,0.0,3.4,6.0,87.8
8,8,5.2,4.15,1.73,11.22,5.51,71.78
9,9,3.75,3.12,1.88,15.62,3.12,73.75
10,10,4.97,4.81,1.21,16.56,5.12,67.6
11,11,5.0,10.0,5.0,15.0,8.33,61.67
12,12,0.47,1.3,0.03,6.77,4.8,86.83
13,13,0.0,0.0,0.0,5.0,10.0,85.0
14,14,3.23,6.26,1.26,10.33,3.95,75.69
15,15,0.0,5.0,0.0,5.0,5.0,80.0
16,16,5.26,4.51,0.98,6.96,5.0,78.11
17,17,0.0,0.0,0.0,8.33,3.33,89.17
18,18,7.02,4.88,1.89,7.18,3.95,75.11
19,19,2.86,5.71,1.43,5.71,6.43,80.0
20,20,6.6,3.84,0.4,10.12,5.96,74.2
21,21,5.0,0.0,0.0,30.0,0.0,65.0
22,22,4.29,5.36,1.07,9.29,2.5,77.86
23,23,4.86,4.49,1.17,14.1,4.83,70.53
24,24,3.23,4.97,0.97,8.03,4.07,80.23
25,25,0.0,0.78,0.0,6.22,1.11,91.44
26,26,1.07,1.79,0.71,3.93,4.29,88.21
27,27,0.8,1.33,0.0,5.0,5.13,88.13
28,28,0.91,1.09,0.0,7.39,4.3,86.48
29,29,5.65,7.07,1.2,8.07,4.67,74.06
30,30,2.5,1.25,0.0,11.25,5.0,78.75
31,31,2.66,4.1,0.41,7.86,6.69,78.1
32,32,0.0,6.25,4.0,5.25,18.75,64.5
33,33,11.32,4.96,2.11,11.0,5.14,66.79
34,34,10.12,3.25,0.88,11.54,4.46,69.71
35,35,1.11,2.56,0.67,14.56,2.22,76.0
36,36,11.14,4.49,1.57,15.9,5.95,61.17
37,37,5.0,10.0,3.33,25.0,13.33,45.0
38,38,15.32,4.28,2.0,11.84,4.4,62.76
39,39,8.82,3.12,1.91,8.85,5.0,72.42
40,40,10.0,2.0,0.0,9.0,5.0,74.0
41,41,19.81,4.65,2.21,11.75,6.98,54.96
42,42,6.67,11.67,1.67,8.33,13.33,61.67
43,43,4.64,6.79,1.79,10.36,6.79,70.36
44,44,5.93,2.82,0.11,7.75,7.25,76.5
45,45,0.0,5.0,0.0,0.0,5.0,90.0
46,46,8.27,3.94,1.61,11.96,5.9,68.35
47,47,9.76,2.98,1.5,13.97,4.37,67.58
48,48,5.0,5.0,2.5,5.0,12.5,70.0
49,49,11.14,3.54,1.95,11.2,6.95,65.54
50,50,5.83,0.0,0.0,12.92,7.5,73.75
51,51,5.16,5.78,1.81,8.28,3.67,75.49
52,52,5.83,5.0,4.17,15.83,8.33,59.17
53,53,7.7,4.91,1.78,10.96,4.78,70.17
54,54,10.0,5.0,2.92,13.19,5.28,65.56
55,55,0.0,15.0,0.0,20.0,30.0,35.0
56,56,3.83,8.42,2.15,7.83,3.04,74.96
57,57,12.22,1.67,2.04,11.85,5.56,66.48
58,58,15.0,1.0,1.0,11.0,16.0,57.0
59,59,7.97,3.97,1.71,14.11,8.31,64.94
60,60,15.0,4.34,2.83,13.13,5.53,59.45
61,61,10.0,10.0,5.0,5.0,40.0,30.0
62,62,7.71,4.51,1.06,14.48,3.67,69.54
63,63,13.19,4.28,2.06,12.25,5.53,62.97
64,64,8.0,3.05,1.14,12.48,12.24,62.67
65,65,0.0,7.0,0.0,5.2,15.2,73.6
66,66,12.74,4.81,1.75,11.96,5.51,63.86
67,67,4.5,1.0,0.0,18.5,7.5,68.5
68,68,8.14,5.11,1.24,7.82,4.02,74.35
69,69,1.88,1.25,0.0,8.75,2.5,85.62
70,70,5.25,5.23,1.5,8.75,4.48,74.58
71,71,10.0,0.0,0.0,0.0,20.0,70.0
72,72,3.12,3.94,2.19,6.31,4.12,78.69
73,73,0.0,0.0,0.0,17.5,5.0,77.5
74,74,2.17,5.17,0.51,6.15,4.49,81.83
75,75,0.0,5.0,0.0,10.0,5.0,80.0
76,76,5.89,1.33,2.44,12.78,6.33,72.33
77,77,9.44,3.89,1.67,11.11,5.0,67.22
78,78,0.0,5.0,0.0,5.0,20.0,70.0
79,79,15.0,12.5,0.0,7.5,5.0,65.0
80,80,16.82,4.93,2.16,10.18,5.95,60.39
81,81,14.18,3.72,1.79,10.82,4.92,64.59
82,82,10.0,0.0,0.0,10.0,5.0,75.0
83,83,11.55,3.65,1.85,9.55,4.1,68.35
84,84,6.67,8.33,3.33,8.33,8.33,65.0
85,85,3.97,3.33,2.45,9.21,2.94,78.03
86,86,5.0,7.5,2.0,7.0,3.0,77.0
87,87,9.65,5.0,0.65,8.61,6.0,70.96
88,88,5.0,3.33,0.0,15.0,8.33,70.0
89,89,0.0,0.0,0.0,20.0,20.0,60.0
90,90,4.8,4.43,1.27,7.35,3.02,79.16
91,91,8.11,5.0,0.89,4.56,6.11,76.89
92,92,6.79,2.5,1.43,11.43,4.64,74.29
93,93,15.0,0.0,2.5,7.5,10.0,67.5
94,94,4.5,3.96,0.18,10.0,8.32,73.25
95,95,3.75,2.5,1.25,15.0,6.25,71.25
96,96,14.0,4.78,1.89,11.44,6.78,62.0
97,97,19.79,4.38,1.46,8.54,4.79,62.5
98,98,0.0,0.0,0.0,10.0,20.0,70.0
99,99,7.6,4.71,1.91,13.28,4.5,68.46
100,100,5.0,5.0,5.0,7.5,10.0,70.0
101,101,9.72,4.0,2.55,15.28,5.65,63.03
102,102,6.7,3.6,2.6,22.3,5.7,62.1
103,103,12.63,4.37,3.0,14.22,5.34,61.0
104,104,15.0,0.0,0.0,15.0,30.0,40.0
105,105,2.5,1.25,2.5,1.25,2.5,91.25
106,106,3.33,6.67,2.78,9.44,5.56,73.89
107,107,11.76,3.9,1.62,15.9,5.71,61.76
108,108,17.81,1.9,1.71,7.57,5.33,65.86
109,109,5.53,2.8,0.47,7.87,3.07,79.8
110,110,1.33,0.0,0.33,15.67,1.33,79.67
111,111,4.5,3.3,2.8,10.0,10.5,69.9
112,112,10.67,3.83,2.83,8.83,4.17,68.83
113,113,8.0,2.0,1.0,11.0,9.0,69.0
114,114,10.0,8.33,1.67,11.67,5.0,61.67
115,115,7.0,0.0,1.0,24.0,28.0,40.0
116,116,13.26,2.61,1.52,13.7,5.22,63.91
117,117,9.29,4.29,4.29,10.71,6.43,66.79
118,118,7.46,5.43,1.79,7.57,3.0,75.5
119,119,0.0,0.0,10.0,0.0,0.0,90.0
120,120,10.9,6.65,0.68,8.03,3.45,71.68
121,121,2.5,2.5,2.5,2.5,5.0,85.0
122,122,22.23,5.89,1.64,10.26,5.3,55.91
123,123,0.0,0.0,10.0,15.0,10.0,65.0
124,124,11.72,4.56,1.89,11.69,4.89,65.38
125,125,5.33,3.33,0.0,22.33,8.67,60.67
126,126,11.32,2.5,2.5,13.68,6.62,63.24
127,127,7.0,0.0,1.0,7.0,14.0,70.0
128,128,14.0,4.5,3.0,7.0,10.0,61.0
129,129,0.5,1.5,1.0,7.5,5.5,84.5
130,130,0.08,1.92,0.0,6.08,3.08,89.54
131,131,20.04,4.29,1.63,10.49,5.31,58.27
132,132,10.0,0.0,0.0,15.0,15.0,60.0
133,133,16.94,4.22,1.59,7.06,4.96,65.24
134,134,18.75,7.19,0.94,8.12,5.62,59.69
135,135,5.41,5.22,2.05,9.32,6.11,72.08
136,136,4.25,7.25,1.25,16.0,4.0,68.5
137,137,1.0,3.67,0.22,6.44,5.44,82.89
138,138,3.75,4.38,1.25,10.62,11.88,67.5
139,139,17.9,3.3,2.6,11.75,6.15,59.6
140,140,7.5,3.75,1.25,25.0,3.75,60.0
141,141,6.11,10.56,2.78,7.78,7.78,66.67
142,142,6.5,2.5,0.0,16.5,4.5,69.5
143,143,19.89,3.7,2.19,9.67,5.7,59.85
144,144,5.0,15.0,0.0,5.0,5.0,65.0
145,145,21.41,2.88,1.47,12.24,5.53,56.12
146,146,1.67,5.0,0.0,13.33,1.67,80.0
147,147,14.0,3.0,0.0,14.0,5.0,67.0
