SAL_ROW_ID,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,COURSE_INDEX
0,3,30000,35000,40000,31000.0,34000.0,40000.0,30000.0,36000.0,45000.0,30000.0,35000.0,40000.0,29000.0,33000.0,36000.0,179
1,3,33000,40000,50000,34000.0,40000.0,50000.0,32000.0,32000.0,60000.0,32000.0,32500.0,33000.0,33500.0,35000.0,48000.0,154
2,3,22500,25000,30000,23000.0,25500.0,30000.0,22000.0,24000.0,30000.0,22000.0,24000.0,26500.0,18000.0,22000.0,26500.0,139
3,3,30000,33000,40000,30000.0,33000.0,39500.0,30000.0,33000.0,37000.0,32000.0,35000.0,42000.0,32000.0,33000.0,38000.0,111
4,3,32000,40000,45000,32500.0,40000.0,45000.0,33000.0,38000.0,45000.0,32000.0,40000.0,47500.0,25000.0,38000.0,41000.0,170
5,4,25000,32000,39000,27000.0,32500.0,39500.0,30000.0,38000.0,42000.0,30000.0,33000.0,40000.0,20000.0,21000.0,24000.0,170
6,3,25000,25000,26500,25000.0,25000.0,27000.0,24000.0,25000.0,25000.0,25000.0,26000.0,26000.0,24500.0,25000.0,25500.0,12
7,3,24500,25500,27000,24500.0,25000.0,27000.0,24000.0,25000.0,25000.0,26000.0,28500.0,40000.0,25500.0,26000.0,27000.0,13
8,3,25000,25500,31000,25000.0,25500.0,31000.0,24500.0,25500.0,27000.0,25000.0,27000.0,32000.0,24000.0,26000.0,31000.0,26
9,3,25000,25000,26500,25000.0,25000.0,27000.0,24000.0,24500.0,25000.0,25000.0,25000.0,26000.0,24500.0,25000.0,26000.0,27
10,3,25000,25500,30000,25000.0,26000.0,30000.0,24000.0,24500.0,26000.0,25000.0,26000.0,26500.0,25000.0,25000.0,27000.0,28
11,3,25000,25500,28000,25000.0,25500.0,28500.0,25000.0,25000.0,28000.0,25000.0,26000.0,26500.0,25000.0,25500.0,36000.0,129
12,3,25000,26000,27500,25000.0,26000.0,28000.0,24000.0,25000.0,25500.0,26000.0,26000.0,27000.0,25000.0,25500.0,27000.0,137
13,3,21000,25000,28000,21000.0,24500.0,28000.0,22000.0,25000.0,27000.0,22000.0,25000.0,28500.0,20500.0,23000.0,27000.0,41
14,3,22000,25000,29500,22000.0,25000.0,30000.0,21000.0,24000.0,26000.0,21500.0,25000.0,27000.0,25000.0,25500.0,27000.0,145
15,3,25000,25500,27000,25000.0,25500.0,27500.0,25000.0,25000.0,26000.0,25000.0,26000.0,26500.0,25000.0,25500.0,26500.0,44
16,3,23000,25000,29000,23000.0,25000.0,29000.0,22000.0,25000.0,26000.0,22000.0,26000.0,28000.0,22000.0,25500.0,32500.0,87
17,3,17500,19000,24000,18000.0,19000.0,24000.0,18000.0,20000.0,24000.0,17500.0,19000.0,30000.0,17000.0,18000.0,20000.0,35
18,3,25000,25500,27000,25000.0,25500.0,27000.0,24000.0,25000.0,25500.0,25500.0,26000.0,26000.0,25000.0,25000.0,26000.0,130
19,3,24000,26000,30000,23000.0,26000.0,30000.0,24000.0,26000.0,27000.0,24000.0,26000.0,26000.0,27000.0,32000.0,33500.0,164
20,3,25000,25500,27000,25000.0,25500.0,27500.0,24000.0,25000.0,25500.0,26000.0,26000.0,26500.0,25000.0,25500.0,27000.0,94
21,3,21000,24500,28000,21000.0,25000.0,28500.0,23000.0,26000.0,28000.0,21500.0,25000.0,28000.0,21000.0,23000.0,27000.0,108
22,3,21000,25000,28000,21500.0,25000.0,28500.0,22500.0,24000.0,28000.0,22000.0,26000.0,29000.0,20000.0,24000.0,27000.0,80
23,3,19000,22000,25000,19000.0,22000.0,24500.0,15000.0,22000.0,25000.0,20000.0,24000.0,28000.0,18000.0,20500.0,24000.0,63
24,3,18500,21000,24500,18500.0,21000.0,24000.0,20000.0,23000.0,23500.0,19000.0,22000.0,24500.0,20000.0,20500.0,27000.0,38
25,3,22000,26000,30000,22000.0,26000.0,30000.0,23000.0,24000.0,26500.0,22500.0,25000.0,28500.0,22500.0,25000.0,27000.0,122
26,3,19000,22500,26000,19000.0,23000.0,26000.0,19000.0,21000.0,23000.0,19000.0,22000.0,25000.0,18500.0,22000.0,27000.0,47
27,3,20000,24500,28500,20000.0,24000.0,29000.0,12000.0,19000.0,24500.0,20000.0,27000.0,28000.0,21000.0,27000.0,27500.0,48
28,3,19500,22000,25500,19500.0,22500.0,25500.0,18000.0,21500.0,23500.0,19000.0,22000.0,25000.0,18000.0,21000.0,25000.0,36
29,3,21500,25000,30000,21500.0,25000.0,30000.0,23000.0,25000.0,26000.0,22000.0,26000.0,27000.0,15000.0,21000.0,38000.0,37
30,3,30000,32000,35000,30000.0,32000.0,35000.0,30000.0,32000.0,33000.0,29500.0,31500.0,34000.0,30000.0,32000.0,33500.0,178
31,3,22000,25000,28000,22000.0,25000.0,28000.0,22000.0,26000.0,30000.0,20000.0,24500.0,26000.0,20000.0,22000.0,26500.0,72
32,3,22500,25000,28000,23000.0,25000.0,28000.0,22000.0,25500.0,30000.0,22000.0,23000.0,27000.0,20000.0,24000.0,32000.0,91
33,3,25000,29000,33000,25000.0,30000.0,34000.0,23500.0,25000.0,27500.0,23000.0,26500.0,30000.0,22000.0,25000.0,30000.0,131
34,3,23000,26000,30000,23000.0,26000.0,30000.0,23000.0,25500.0,28000.0,23000.0,25000.0,27500.0,21000.0,24000.0,26500.0,133
35,3,24500,28000,33500,25000.0,29000.0,34000.0,21000.0,24000.0,25000.0,24000.0,27500.0,30000.0,22500.0,25500.0,28000.0,124
36,3,25500,30000,35000,26000.0,30000.0,35000.0,24000.0,26000.0,29500.0,24000.0,27500.0,31000.0,22000.0,24000.0,28000.0,109
37,3,25000,29000,32000,25500.0,29000.0,32500.0,23500.0,25500.0,28000.0,25000.0,28000.0,31000.0,25000.0,28000.0,31000.0,18
38,3,25000,29000,32000,25000.0,29000.0,32500.0,23000.0,24000.0,27000.0,23000.0,26000.0,30000.0,25000.0,30000.0,35000.0,118
39,3,25000,29000,32000,25000.0,29000.0,32000.0,26000.0,28500.0,32000.0,25000.0,27500.0,30000.0,22000.0,25000.0,29000.0,120
40,3,24000,27000,32000,24000.0,27000.0,32000.0,22500.0,26000.0,28000.0,25000.0,29500.0,32000.0,19000.0,23500.0,26000.0,134
41,3,26000,28000,30000,26500.0,28500.0,30500.0,25000.0,27000.0,28000.0,26000.0,28000.0,30000.0,25000.0,27000.0,29000.0,16
42,3,26000,30000,33500,26500.0,30000.0,34000.0,24000.0,28000.0,32000.0,26000.0,29000.0,32000.0,21000.0,26000.0,30000.0,68
43,3,27000,30000,33500,27000.0,30000.0,34000.0,23500.0,26000.0,30000.0,25000.0,29500.0,32500.0,26000.0,28000.0,34000.0,163
44,3,25000,30000,36000,25000.0,30000.0,37000.0,24000.0,27000.0,30000.0,24000.0,29000.0,35000.0,21000.0,25000.0,28500.0,29
45,3,26000,33000,45000,27000.0,35000.0,45000.0,22500.0,27000.0,29500.0,26000.0,35000.0,47500.0,23000.0,26000.0,42000.0,142
46,3,23000,26000,30000,23000.0,26000.0,30000.0,23000.0,25000.0,28000.0,26500.0,28000.0,31000.0,19000.0,24000.0,24000.0,140
47,3,24000,28000,33000,24000.0,28000.0,34000.0,25000.0,29000.0,31000.0,25000.0,30000.0,33500.0,22000.0,26000.0,32000.0,14
48,3,20000,23500,27000,20000.0,24000.0,27000.0,20000.0,21000.0,27500.0,20000.0,23500.0,27000.0,15000.0,20000.0,23500.0,56
49,3,23000,26000,30000,23000.0,27000.0,30000.0,23000.0,26000.0,31000.0,21000.0,24500.0,28000.0,23000.0,24000.0,26000.0,106
50,3,22500,26000,30000,23500.0,26500.0,30000.0,19500.0,23000.0,26500.0,23000.0,27000.0,30000.0,19500.0,22000.0,28000.0,86
51,3,20000,22500,25000,20000.0,23000.0,25000.0,18000.0,20000.0,24000.0,20000.0,23000.0,25000.0,18500.0,21500.0,23000.0,20
52,3,25000,28000,32000,25000.0,28000.0,32000.0,24000.0,26000.0,30000.0,24000.0,27000.0,31000.0,25000.0,28000.0,32000.0,24
53,3,35000,41000,50000,35000.0,42500.0,50500.0,28000.0,30000.0,33000.0,33000.0,38000.0,47000.0,31000.0,36500.0,42000.0,25
54,3,23000,26000,28500,23500.0,26500.0,29500.0,23000.0,25000.0,27000.0,23500.0,26000.0,27000.0,20000.0,25000.0,27500.0,92
55,3,20000,23000,26000,20000.0,23000.0,26000.0,19000.0,21000.0,24000.0,20000.0,23000.0,26000.0,18500.0,21000.0,24000.0,46
56,3,20000,23500,27000,20000.0,24000.0,28000.0,19000.0,22000.0,23000.0,21000.0,22500.0,27000.0,18000.0,21000.0,24000.0,53
57,3,25000,30000,35000,25000.0,30000.0,36000.0,21000.0,23000.0,27000.0,24000.0,27000.0,30500.0,22000.0,24500.0,27000.0,99
58,3,22000,25500,30000,22000.0,26000.0,30000.0,19000.0,21000.0,22500.0,21000.0,24500.0,28000.0,20000.0,22000.0,27000.0,66
59,3,26000,30000,32500,26000.0,30000.0,32000.0,25000.0,31000.0,32000.0,30000.0,35000.0,36500.0,27500.0,31000.0,33000.0,31
60,3,30000,31000,34000,30000.0,30500.0,33000.0,25000.0,25500.0,28500.0,34000.0,36000.0,37500.0,30000.0,30500.0,32000.0,32
61,3,17500,21000,25500,18000.0,21000.0,25000.0,16000.0,19500.0,22500.0,20000.0,24000.0,28000.0,15000.0,20000.0,24000.0,39
62,3,20000,25000,29000,19000.0,23500.0,27000.0,12000.0,20000.0,22000.0,25000.0,29000.0,34000.0,14000.0,22000.0,25000.0,40
63,3,18500,21500,25000,19000.0,22000.0,25000.0,18000.0,20000.0,22000.0,20500.0,23000.0,27000.0,18000.0,21000.0,24000.0,64
64,3,21000,26000,34000,21000.0,27000.0,39000.0,25000.0,25000.0,32000.0,21000.0,24500.0,32000.0,20000.0,21000.0,25000.0,65
65,3,20000,23000,27000,20000.0,23000.0,28000.0,19000.0,21000.0,24000.0,20000.0,22000.0,26000.0,19000.0,21000.0,23500.0,101
66,3,23000,30000,41000,24000.0,30500.0,42000.0,20000.0,22500.0,35000.0,25000.0,32000.0,40000.0,20000.0,22000.0,28000.0,102
67,3,22000,25000,30000,22000.0,25000.0,30000.0,21000.0,22500.0,26500.0,21000.0,25000.0,28000.0,20500.0,23000.0,27000.0,135
68,3,25000,32500,42000,25000.0,32000.0,43500.0,25000.0,35500.0,45000.0,27000.0,35000.0,42000.0,22000.0,27000.0,37000.0,136
69,3,22000,25000,30000,22000.0,25000.0,30000.0,21000.0,23000.0,26000.0,21500.0,24500.0,28000.0,20000.0,23000.0,26500.0,8
70,3,24000,30500,42000,25000.0,31500.0,42000.0,20000.0,23000.0,25000.0,30000.0,42000.0,50000.0,27500.0,35000.0,42000.0,9
71,3,22000,25000,28000,22000.0,25000.0,28000.0,21500.0,23000.0,25000.0,20000.0,23000.0,26000.0,19000.0,22000.0,25000.0,90
72,3,23000,26500,32000,23000.0,27000.0,33000.0,21000.0,23000.0,25000.0,22000.0,24000.0,28000.0,20000.0,23000.0,27000.0,6
73,3,35000,43000,50000,35000.0,43000.0,50000.0,27000.0,32500.0,38000.0,30000.0,40000.0,54500.0,27000.0,41000.0,52000.0,7
74,4,30000,36000,47000,31500.0,36000.0,49000.0,28500.0,32000.0,38000.0,33000.0,34000.0,48000.0,26000.0,30000.0,40000.0,7
75,3,21500,25000,28000,21500.0,25000.0,28000.0,21000.0,22500.0,25500.0,22000.0,25000.0,28000.0,19000.0,22000.0,24000.0,43
76,3,20000,23000,26000,20000.0,23000.0,26000.0,19000.0,21000.0,24500.0,20000.0,22000.0,25000.0,19000.0,21000.0,26000.0,70
77,3,22000,25000,30000,22000.0,26000.0,30500.0,22000.0,24000.0,27000.0,21500.0,24500.0,27000.0,19500.0,23000.0,25000.0,23
78,3,21000,24000,28000,21500.0,25000.0,29000.0,18500.0,20000.0,23000.0,20000.0,22500.0,25000.0,19500.0,22000.0,25000.0,10
79,3,20000,24000,27000,21000.0,24000.0,27000.0,20000.0,20000.0,22000.0,20000.0,22000.0,27500.0,16000.0,20000.0,27000.0,103
80,3,20000,23000,27000,20000.0,23000.0,27000.0,17500.0,20000.0,25000.0,19500.0,24000.0,27500.0,18000.0,19500.0,24000.0,116
81,3,22000,25000,28500,22000.0,25000.0,29000.0,18500.0,21000.0,24500.0,21000.0,24000.0,26000.0,20000.0,24000.0,28000.0,151
82,3,22000,25000,28500,22000.0,25500.0,29500.0,18500.0,20500.0,24000.0,20000.0,24500.0,27500.0,21000.0,22000.0,24000.0,152
83,3,20500,24500,28000,21000.0,25000.0,28000.0,18000.0,21500.0,24000.0,19000.0,21500.0,26000.0,19000.0,21500.0,26000.0,60
84,3,20000,21500,24000,20000.0,21500.0,24000.0,20000.0,21000.0,22500.0,17500.0,21500.0,22500.0,14500.0,20000.0,22500.0,97
85,3,20000,24500,27000,20000.0,25000.0,27000.0,18000.0,22000.0,24000.0,22000.0,26000.0,28000.0,19000.0,22500.0,27000.0,126
86,3,18000,23500,26500,18000.0,24000.0,26000.0,16000.0,20000.0,22500.0,22000.0,25000.0,28000.0,16000.0,21000.0,27000.0,49
87,3,19500,25500,29500,18500.0,25000.0,28000.0,13000.0,30000.0,43000.0,26500.0,31000.0,35000.0,15500.0,19500.0,20500.0,50
88,4,16000,21000,31000,16000.0,19500.0,26000.0,28000.0,33000.0,35000.0,21000.0,32000.0,40000.0,12500.0,20000.0,29000.0,50
89,3,25000,26000,28000,25000.0,25500.0,27500.0,21000.0,24000.0,25000.0,27500.0,32000.0,33000.0,25000.0,27000.0,27500.0,74
90,3,23500,28000,35000,24000.0,28000.0,35000.0,22500.0,27000.0,40000.0,23000.0,27000.0,33500.0,24000.0,30000.0,35000.0,210
91,3,20000,22000,25000,20000.0,22500.0,25000.0,18000.0,20000.0,21000.0,19000.0,22000.0,24000.0,18000.0,21000.0,23000.0,85
92,3,19000,22000,25000,19000.0,22000.0,25000.0,18500.0,21000.0,24000.0,18000.0,20000.0,23000.0,17000.0,20000.0,22000.0,51
93,3,17500,20000,24000,18000.0,20500.0,24000.0,13000.0,18000.0,19500.0,17500.0,20000.0,23000.0,17000.0,21000.0,24000.0,59
94,3,20000,22000,25000,20000.0,22000.0,25000.0,19500.0,23000.0,25000.0,19000.0,22000.0,25000.0,18500.0,21000.0,23000.0,0
95,3,18500,21000,25000,18500.0,21500.0,25000.0,16000.0,19500.0,22000.0,18000.0,21000.0,25000.0,16000.0,19500.0,23000.0,2
96,3,18000,21500,25000,18000.0,21500.0,25000.0,16000.0,19000.0,22500.0,19000.0,21000.0,25000.0,16000.0,20000.0,23000.0,62
97,3,18000,21000,25000,18000.0,21000.0,25000.0,18500.0,20500.0,25000.0,17500.0,21000.0,27500.0,15000.0,19500.0,24000.0,4
98,3,21000,25000,28000,21500.0,25000.0,28000.0,17500.0,22000.0,23000.0,19500.0,24000.0,27000.0,19500.0,22500.0,27000.0,83
99,3,22000,25000,28000,22000.0,25000.0,28500.0,19000.0,21000.0,23000.0,21500.0,25000.0,27000.0,20000.0,23000.0,26000.0,81
100,3,22000,25500,29500,22000.0,25500.0,30000.0,22500.0,25000.0,26000.0,21000.0,25000.0,28000.0,20000.0,22000.0,27000.0,160
